Месяц	курс доллара: (Россия)	девальвация: (Россия)	финансовый кризис: (Россия)	банк: (Россия)	евро: (Россия)	ЦБ: (Россия)	РТС: (Россия)	ММВБ: (Россия)	акция: (Россия)	ипотека: (Россия)	взять кредит: (Россия)	ПИФ: (Россия)	банкротство: (Россия)	залог: (Россия)	дефолт: (Россия)
2004-01	5.0	0.0	0.0	29.0	1.0	5.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0
2004-02	1.0	0.0	0.0	32.0	0.0	5.0	1.0	0.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0
2004-03	3.0	0.0	0.0	22.0	4.0	4.0	1.0	0.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0
2004-04	2.0	0.0	0.0	34.0	1.0	2.0	1.0	0.0	2.0	2.0	1.0	0.0	4.0	0.0	0.0
2004-05	5.0	0.0	0.0	25.0	7.0	3.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
2004-06	4.0	0.0	0.0	33.0	17.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	1.0
2004-07	3.0	0.0	0.0	39.0	3.0	3.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
2004-08	2.0	0.0	0.0	30.0	3.0	6.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
2004-09	1.0	0.0	0.0	22.0	2.0	4.0	0.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0
2004-10	3.0	0.0	0.0	31.0	1.0	3.0	1.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0
2004-11	6.0	1.0	0.0	28.0	1.0	3.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
2004-12	5.0	0.0	0.0	28.0	7.0	6.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0
2005-01	1.0	0.0	0.0	22.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
2005-02	1.0	0.0	0.0	24.0	1.0	2.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0
2005-03	5.0	0.0	0.0	30.0	2.0	4.0	1.0	1.0	2.0	3.0	0.0	1.0	2.0	0.0	0.0
2005-04	4.0	0.0	0.0	34.0	1.0	2.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0
2005-05	3.0	0.0	0.0	33.0	2.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	2.0	0.0
2005-06	5.0	0.0	0.0	38.0	4.0	7.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	2.0	0.0
2005-07	4.0	0.0	0.0	20.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0
2005-08	5.0	0.0	0.0	33.0	4.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
2005-09	2.0	0.0	0.0	30.0	6.0	3.0	1.0	0.0	2.0	2.0	0.0	1.0	2.0	1.0	2.0
2005-10	2.0	0.0	0.0	35.0	3.0	2.0	1.0	0.0	3.0	3.0	0.0	1.0	1.0	0.0	0.0
2005-11	4.0	0.0	0.0	37.0	4.0	5.0	2.0	1.0	1.0	4.0	0.0	1.0	2.0	0.0	0.0
2005-12	2.0	0.0	0.0	38.0	3.0	2.0	1.0	2.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2006-01	4.0	0.0	0.0	31.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	2.0	2.0	0.0	1.0
2006-02	4.0	0.0	0.0	31.0	2.0	1.0	1.0	1.0	1.0	4.0	0.0	2.0	0.0	1.0	0.0
2006-03	1.0	0.0	0.0	35.0	2.0	4.0	1.0	1.0	2.0	5.0	0.0	2.0	1.0	1.0	1.0
2006-04	4.0	0.0	0.0	37.0	2.0	4.0	1.0	1.0	1.0	4.0	0.0	1.0	0.0	1.0	0.0
2006-05	4.0	0.0	0.0	36.0	3.0	8.0	2.0	1.0	2.0	3.0	0.0	1.0	0.0	0.0	0.0
2006-06	5.0	0.0	0.0	31.0	3.0	2.0	1.0	1.0	1.0	2.0	0.0	2.0	1.0	0.0	0.0
2006-07	6.0	0.0	0.0	35.0	5.0	3.0	2.0	2.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0
2006-08	5.0	0.0	0.0	42.0	2.0	3.0	1.0	3.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0
2006-09	3.0	0.0	0.0	33.0	5.0	3.0	1.0	1.0	3.0	3.0	0.0	1.0	0.0	1.0	0.0
2006-10	4.0	0.0	0.0	32.0	3.0	3.0	0.0	2.0	2.0	3.0	0.0	2.0	1.0	0.0	0.0
2006-11	3.0	0.0	0.0	35.0	3.0	3.0	1.0	2.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0
2006-12	4.0	0.0	0.0	30.0	3.0	4.0	1.0	1.0	1.0	3.0	0.0	2.0	1.0	0.0	0.0
2007-01	3.0	0.0	0.0	32.0	2.0	3.0	1.0	2.0	2.0	4.0	0.0	2.0	0.0	1.0	0.0
2007-02	3.0	0.0	0.0	32.0	2.0	3.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2007-03	2.0	0.0	0.0	36.0	3.0	3.0	2.0	1.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0
2007-04	3.0	0.0	0.0	40.0	2.0	3.0	1.0	1.0	2.0	3.0	0.0	1.0	1.0	1.0	0.0
2007-05	2.0	0.0	0.0	38.0	3.0	3.0	2.0	3.0	1.0	3.0	0.0	1.0	1.0	0.0	0.0
2007-06	3.0	0.0	0.0	34.0	4.0	3.0	2.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2007-07	2.0	0.0	0.0	38.0	3.0	2.0	2.0	1.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0
2007-08	3.0	0.0	0.0	39.0	4.0	3.0	1.0	2.0	1.0	3.0	1.0	1.0	0.0	1.0	0.0
2007-09	2.0	0.0	0.0	35.0	4.0	3.0	2.0	1.0	1.0	4.0	0.0	1.0	0.0	1.0	1.0
2007-10	3.0	0.0	0.0	40.0	5.0	2.0	0.0	1.0	1.0	3.0	0.0	1.0	0.0	1.0	1.0
2007-11	4.0	0.0	0.0	40.0	7.0	3.0	1.0	2.0	2.0	3.0	1.0	1.0	0.0	1.0	0.0
2007-12	3.0	0.0	0.0	43.0	5.0	3.0	1.0	1.0	2.0	3.0	0.0	2.0	0.0	0.0	2.0
2008-01	3.0	1.0	0.0	36.0	4.0	3.0	2.0	1.0	2.0	5.0	0.0	1.0	0.0	0.0	1.0
2008-02	3.0	0.0	0.0	38.0	5.0	2.0	1.0	1.0	1.0	4.0	0.0	1.0	1.0	1.0	1.0
2008-03	4.0	0.0	0.0	40.0	5.0	2.0	1.0	1.0	2.0	3.0	0.0	1.0	0.0	1.0	0.0
2008-04	3.0	0.0	0.0	44.0	4.0	4.0	1.0	1.0	1.0	3.0	0.0	1.0	0.0	1.0	0.0
2008-05	4.0	0.0	0.0	37.0	6.0	4.0	1.0	1.0	1.0	3.0	0.0	1.0	0.0	1.0	0.0
2008-06	3.0	0.0	0.0	39.0	51.0	3.0	1.0	1.0	2.0	2.0	0.0	1.0	0.0	1.0	0.0
2008-07	4.0	0.0	0.0	45.0	7.0	3.0	1.0	1.0	2.0	3.0	0.0	1.0	0.0	1.0	1.0
2008-08	5.0	0.0	0.0	36.0	5.0	3.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
2008-09	5.0	0.0	1.0	43.0	6.0	3.0	3.0	3.0	2.0	3.0	1.0	1.0	1.0	0.0	1.0
2008-10	7.0	2.0	5.0	48.0	6.0	5.0	3.0	4.0	1.0	3.0	0.0	1.0	1.0	1.0	2.0
2008-11	7.0	4.0	3.0	40.0	6.0	4.0	2.0	3.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0
2008-12	6.0	1.0	1.0	38.0	9.0	5.0	2.0	2.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0
2009-01	10.0	2.0	1.0	34.0	9.0	5.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0
2009-02	10.0	1.0	1.0	31.0	8.0	5.0	1.0	4.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0
2009-03	7.0	0.0	1.0	30.0	7.0	5.0	1.0	3.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
2009-04	5.0	0.0	1.0	32.0	6.0	4.0	1.0	2.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0
2009-05	6.0	0.0	0.0	29.0	6.0	3.0	1.0	2.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0
2009-06	5.0	0.0	0.0	32.0	5.0	4.0	1.0	2.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0
2009-07	7.0	1.0	0.0	34.0	5.0	4.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0
2009-08	6.0	1.0	0.0	33.0	6.0	3.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
2009-09	5.0	0.0	0.0	30.0	6.0	3.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	0.0
2009-10	4.0	0.0	0.0	32.0	5.0	3.0	1.0	2.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0
2009-11	4.0	0.0	0.0	32.0	5.0	2.0	1.0	2.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0
2009-12	5.0	0.0	0.0	32.0	7.0	4.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0
2010-01	3.0	0.0	0.0	29.0	3.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0
2010-02	4.0	0.0	0.0	30.0	5.0	3.0	1.0	1.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0
2010-03	3.0	0.0	0.0	31.0	6.0	3.0	1.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0
2010-04	3.0	0.0	0.0	35.0	6.0	3.0	1.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0
2010-05	5.0	0.0	0.0	32.0	8.0	3.0	1.0	2.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0
2010-06	4.0	0.0	0.0	37.0	7.0	3.0	1.0	2.0	2.0	3.0	0.0	0.0	0.0	1.0	0.0
2010-07	4.0	0.0	0.0	36.0	8.0	4.0	1.0	1.0	2.0	3.0	1.0	0.0	1.0	1.0	0.0
2010-08	4.0	0.0	0.0	36.0	6.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0
2010-09	3.0	0.0	0.0	36.0	7.0	3.0	1.0	1.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0
2010-10	4.0	0.0	0.0	35.0	6.0	3.0	1.0	1.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0
2010-11	4.0	0.0	0.0	35.0	6.0	3.0	1.0	1.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0
2010-12	3.0	0.0	0.0	34.0	5.0	3.0	1.0	2.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0
2011-01	3.0	0.0	0.0	29.0	5.0	2.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0
2011-02	3.0	0.0	0.0	31.0	5.0	2.0	0.0	1.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0
2011-03	4.0	0.0	0.0	32.0	6.0	3.0	0.0	1.0	2.0	3.0	1.0	0.0	1.0	1.0	0.0
2011-04	4.0	0.0	0.0	33.0	7.0	2.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2011-05	5.0	1.0	0.0	32.0	7.0	2.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2011-06	5.0	0.0	0.0	34.0	7.0	2.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2011-07	6.0	1.0	0.0	37.0	7.0	2.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	2.0
2011-08	9.0	0.0	0.0	37.0	8.0	3.0	1.0	2.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0
2011-09	9.0	0.0	0.0	36.0	8.0	2.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0
2011-10	8.0	0.0	0.0	35.0	9.0	2.0	1.0	1.0	3.0	3.0	1.0	0.0	0.0	1.0	1.0
2011-11	6.0	0.0	0.0	34.0	7.0	2.0	1.0	1.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2011-12	6.0	0.0	0.0	34.0	7.0	2.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2012-01	6.0	0.0	0.0	30.0	6.0	2.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0
2012-02	6.0	0.0	0.0	33.0	6.0	2.0	0.0	1.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0
2012-03	6.0	0.0	0.0	34.0	6.0	2.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2012-04	4.0	0.0	0.0	33.0	7.0	2.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2012-05	6.0	0.0	0.0	34.0	10.0	2.0	1.0	1.0	3.0	2.0	1.0	0.0	1.0	1.0	0.0
2012-06	10.0	0.0	0.0	35.0	64.0	2.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2012-07	7.0	0.0	0.0	36.0	17.0	2.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2012-08	7.0	0.0	0.0	37.0	10.0	2.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2012-09	6.0	0.0	0.0	36.0	9.0	2.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2012-10	5.0	0.0	0.0	35.0	7.0	2.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2012-11	5.0	0.0	0.0	36.0	6.0	2.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2012-12	4.0	0.0	0.0	36.0	6.0	1.0	1.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2013-01	4.0	0.0	0.0	33.0	6.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0
2013-02	4.0	0.0	0.0	35.0	5.0	1.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2013-03	4.0	0.0	0.0	36.0	6.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2013-04	5.0	0.0	0.0	37.0	7.0	2.0	0.0	1.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0
2013-05	4.0	0.0	0.0	35.0	6.0	2.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2013-06	6.0	1.0	0.0	38.0	9.0	2.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2013-07	7.0	0.0	0.0	41.0	9.0	2.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2013-08	6.0	0.0	0.0	39.0	9.0	2.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0
2013-09	6.0	0.0	0.0	37.0	7.0	2.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2013-10	6.0	0.0	0.0	38.0	7.0	2.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	1.0	1.0
2013-11	6.0	0.0	0.0	41.0	6.0	2.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2013-12	5.0	0.0	0.0	43.0	7.0	2.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2014-01	8.0	0.0	0.0	33.0	8.0	3.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0
2014-02	11.0	1.0	0.0	36.0	10.0	3.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0
2014-03	13.0	0.0	0.0	39.0	12.0	4.0	1.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2014-04	8.0	0.0	0.0	38.0	8.0	3.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2014-05	8.0	0.0	0.0	38.0	9.0	3.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2014-06	7.0	0.0	0.0	38.0	10.0	3.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2014-07	8.0	0.0	0.0	38.0	10.0	3.0	1.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2014-08	9.0	0.0	0.0	37.0	9.0	2.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2014-09	11.0	0.0	0.0	38.0	9.0	3.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2014-10	14.0	0.0	0.0	35.0	11.0	4.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2014-11	34.0	0.0	0.0	38.0	17.0	5.0	0.0	1.0	3.0	3.0	1.0	0.0	0.0	1.0	1.0
2014-12	97.0	2.0	0.0	49.0	49.0	15.0	1.0	2.0	3.0	3.0	1.0	0.0	0.0	1.0	3.0
2015-01	47.0	0.0	0.0	33.0	18.0	6.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0
2015-02	36.0	0.0	0.0	34.0	13.0	5.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2015-03	31.0	0.0	0.0	34.0	14.0	5.0	0.0	1.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0
2015-04	43.0	0.0	0.0	36.0	16.0	6.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2015-05	27.0	0.0	0.0	33.0	12.0	4.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2015-06	27.0	0.0	0.0	36.0	14.0	4.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	1.0	1.0
2015-07	24.0	0.0	0.0	39.0	14.0	4.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2015-08	44.0	1.0	0.0	37.0	20.0	6.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2015-09	30.0	0.0	0.0	34.0	15.0	4.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2015-10	25.0	0.0	0.0	34.0	12.0	4.0	0.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0
2015-11	20.0	0.0	0.0	34.0	10.0	3.0	0.0	0.0	3.0	2.0	1.0	0.0	1.0	1.0	0.0
2015-12	26.0	0.0	0.0	36.0	12.0	4.0	0.0	1.0	4.0	2.0	1.0	0.0	0.0	1.0	1.0
2016-01	40.0	0.0	0.0	29.0	14.0	4.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0
2016-02	27.0	0.0	0.0	32.0	11.0	4.0	0.0	1.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0
2016-03	28.0	0.0	0.0	31.0	12.0	4.0	0.0	1.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0
2016-04	23.0	0.0	0.0	33.0	11.0	3.0	0.0	1.0	3.0	2.0	1.0	0.0	1.0	1.0	0.0
2016-05	18.0	0.0	0.0	31.0	12.0	3.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2016-06	17.0	0.0	0.0	34.0	54.0	3.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2016-07	16.0	0.0	0.0	34.0	32.0	3.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0
2016-08	15.0	0.0	0.0	34.0	12.0	3.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2016-09	13.0	0.0	0.0	32.0	10.0	3.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0	0.0
2016-10	13.0	0.0	0.0	33.0	10.0	3.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2016-11	16.0	0.0	0.0	32.0	10.0	3.0	0.0	0.0	3.0	2.0	1.0	0.0	1.0	1.0	0.0
2016-12	15.0	0.0	0.0	35.0	11.0	3.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
2017-01	16.0	0.0	0.0	30.0	10.0	2.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0
2017-02	17.0	1.0	0.0	32.0	10.0	2.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0
2017-03	15.0	0.0	0.0	33.0	11.0	3.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2017-04	15.0	0.0	0.0	33.0	11.0	3.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2017-05	14.0	0.0	0.0	34.0	11.0	3.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2017-06	16.0	0.0	0.0	36.0	13.0	3.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2017-07	16.0	0.0	0.0	39.0	14.0	3.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2017-08	14.0	0.0	0.0	40.0	13.0	3.0	0.0	0.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0
2017-09	13.0	0.0	0.0	37.0	11.0	3.0	0.0	0.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0
2017-10	11.0	0.0	0.0	35.0	10.0	3.0	0.0	0.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0
2017-11	13.0	0.0	0.0	36.0	10.0	3.0	0.0	0.0	4.0	4.0	1.0	0.0	1.0	1.0	0.0
2017-12	12.0	0.0	0.0	37.0	10.0	3.0	0.0	0.0	4.0	3.0	1.0	0.0	0.0	1.0	0.0
2018-01	14.0	0.0	0.0	32.0	10.0	2.0	0.0	0.0	3.0	5.0	1.0	0.0	0.0	1.0	0.0
2018-02	15.0	0.0	0.0	33.0	11.0	3.0	0.0	0.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0
2018-03	14.0	0.0	0.0	34.0	10.0	3.0	0.0	0.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0
2018-04	33.0	0.0	0.0	37.0	20.0	4.0	1.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2018-05	19.0	0.0	0.0	33.0	13.0	3.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2018-06	15.0	0.0	0.0	35.0	14.0	3.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2018-07	14.0	0.0	0.0	38.0	15.0	3.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2018-08	31.0	0.0	0.0	38.0	18.0	4.0	1.0	0.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0
2018-09	25.0	0.0	0.0	34.0	15.0	3.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2018-10	16.0	0.0	0.0	35.0	12.0	3.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2018-11	16.0	0.0	0.0	35.0	12.0	2.0	1.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2018-12	17.0	0.0	0.0	35.0	12.0	2.0	1.0	0.0	4.0	2.0	1.0	0.0	0.0	1.0	0.0
2019-01	18.0	0.0	0.0	31.0	13.0	2.0	0.0	0.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0
2019-02	15.0	0.0	0.0	33.0	13.0	2.0	1.0	0.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0
2019-03	14.0	0.0	0.0	35.0	15.0	2.0	1.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2019-04	14.0	0.0	0.0	35.0	13.0	2.0	1.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2019-05	13.0	0.0	0.0	34.0	13.0	2.0	1.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2019-06	15.0	0.0	0.0	38.0	16.0	2.0	1.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	0.0
2019-07	15.0	0.0	0.0	38.0	15.0	2.0	1.0	0.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0
2019-08	19.0	0.0	0.0	39.0	17.0	2.0	1.0	0.0	3.0	4.0	1.0	0.0	0.0	1.0	0.0
2019-09	17.0	0.0	0.0	36.0	17.0	2.0	1.0	0.0	3.0	4.0	1.0	0.0	1.0	2.0	0.0
2019-10	14.0	0.0	0.0	35.0	15.0	2.0	1.0	0.0	3.0	4.0	1.0	0.0	1.0	1.0	0.0
2019-11	12.0	0.0	0.0	37.0	14.0	2.0	1.0	0.0	3.0	4.0	1.0	0.0	1.0	1.0	0.0
2019-12	13.0	0.0	0.0	38.0	12.0	2.0	1.0	0.0	4.0	3.0	1.0	0.0	1.0	1.0	0.0
2020-01	17.0	0.0	0.0	34.0	14.0	2.0	1.0	0.0	3.0	5.0	1.0	0.0	0.0	1.0	0.0
2020-02	18.0	0.0	0.0	34.0	15.0	3.0	1.0	0.0	3.0	5.0	1.0	0.0	1.0	1.0	0.0
2020-03	100.0	1.0	0.0	41.0	38.0	6.0	1.0	1.0	3.0	5.0	1.0	0.0	1.0	1.0	1.0
2020-04	46.0	0.0	0.0	31.0	14.0	3.0	1.0	0.0	2.0	4.0	1.0	0.0	1.0	1.0	1.0
2020-05	27.0	0.0	0.0	30.0	12.0	2.0	1.0	0.0	3.0	5.0	1.0	0.0	1.0	1.0	0.0
2020-06	28.0	0.0	0.0	35.0	13.0	3.0	1.0	0.0	3.0	6.0	1.0	0.0	1.0	1.0	0.0
2020-07	25.0	1.0	0.0	36.0	14.0	3.0	1.0	0.0	3.0	6.0	1.0	0.0	1.0	1.0	1.0
2020-08	27.0	1.0	0.0	35.0	17.0	3.0	1.0	0.0	3.0	6.0	1.0	0.0	1.0	1.0	0.0
2020-09	31.0	0.0	0.0	35.0	18.0	3.0	1.0	0.0	3.0	5.0	1.0	0.0	1.0	1.0	0.0
2020-10	29.0	1.0	0.0	35.0	15.0	3.0	1.0	0.0	3.0	5.0	1.0	0.0	1.0	1.0	0.0
2020-11	38.0	1.0	0.0	35.0	16.0	3.0	1.0	0.0	3.0	4.0	1.0	0.0	1.0	1.0	0.0
2020-12	31.0	0.0	0.0	35.0	15.0	3.0	1.0	0.0	4.0	4.0	1.0	0.0	1.0	2.0	0.0
